id|name
https://doi.org/10.1007/s11280-006-0010-9|World Wide Web
https://doi.org/10.1007/s11280-007-0021-1|World Wide Web
https://doi.org/10.1007/s11280-006-0011-8|World Wide Web
https://doi.org/10.1007/s11280-006-0012-7|World Wide Web
https://doi.org/10.1007/s11280-007-0022-0|World Wide Web
https://doi.org/10.1007/s11280-007-0023-z|World Wide Web
https://doi.org/10.1007/s11280-007-0032-y|World Wide Web
https://doi.org/10.1007/s11280-007-0033-x|World Wide Web
https://doi.org/10.1007/s11280-006-0016-3|World Wide Web
https://doi.org/10.1007/s11280-006-0017-2|World Wide Web
https://doi.org/10.1007/s11280-006-0015-4|World Wide Web
https://doi.org/10.1007/s11280-006-0008-3|World Wide Web
https://doi.org/10.1007/s11280-007-0035-8|World Wide Web
https://doi.org/10.1007/s11280-006-0009-2|World Wide Web
https://doi.org/10.4108/eai.22-7-2015.2260073|EAI Endorsed Trans. Ubiquitous Environ.
https://doi.org/10.4108/icst.valuetools.2014.258172|EAI Endorsed Trans. Ubiquitous Environ.
https://doi.org/10.1504/IJTMCC.2014.064142|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.067369|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2016.10002828|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.053262|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.063273|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2016.10005484|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.052526|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.067305|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.067378|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.056430|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.064144|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2016.10005490|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.056428|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.056446|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.056427|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2016.10005483|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.056431|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.052522|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.056424|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2015.076953|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2013.052523|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2016.10002818|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2017.10010538|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2018.095608|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.067303|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2015.076966|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2017.10010539|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2017.10010537|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2018.095612|Int. J. Trust. Manag. Comput. Commun.
https://doi.org/10.1504/IJTMCC.2014.063274|Int. J. Trust. Manag. Comput. Commun.
