id|name
https://d-nb.info/891654135|Eul, Germany
https://d-nb.info/880936800|Dt. Univ.-Verlag
https://d-nb.info/890277257|Hanser
https://d-nb.info/953963667|Schweizerbart
https://d-nb.info/900307455|Verlag TÜV Rheinland
https://d-nb.info/944429890|GSF-Forschungszentrum für Umwelt und Gesundheit
https://d-nb.info/943539935|Shaker
https://d-nb.info/95720602X|Dt. Univ.-Verlag
https://d-nb.info/910924112|Springer
https://d-nb.info/931740096|Dt. Univ.-Verlag
https://www.grin.com/document/342295|GRIN Verlag
https://d-nb.info/952577437|Teubner
https://d-nb.info/911214143|Verlag Industrielle Organisation
https://d-nb.info/956598889|Deutscher Universitäts-Verlag
https://d-nb.info/1028143168|Oldenbourg
https://d-nb.info/94263554X|Gabler
https://d-nb.info/900263938|Hüthig
https://d-nb.info/953295192|Shaker
https://d-nb.info/96173972X|Addison-Wesley
https://d-nb.info/1103689096|Springer Vieweg
https://d-nb.info/944884962|VDI-Verlag
https://d-nb.info/1096344599|Shaker Verlag
http://www.dr.hut-verlag.de/978-3-8439-4205-8.html|Verlag Dr. Hut
https://d-nb.info/949388432|Centaurus-Verlag-Ges.
https://d-nb.info/944058914|Verlag der Augustinus-Buchhandlung
https://d-nb.info/943235391|Verlag Praxiswissen
https://d-nb.info/950243531|Shaker
https://d-nb.info/945700849|Lang
https://d-nb.info/943977541|Shaker
https://d-nb.info/930298241|Lang
https://d-nb.info/948153075|Springer
https://d-nb.info/881459763|Springer
https://www.svh-verlag.de|Südwestdeutscher Verlag für Hochschulschriften
https://d-nb.info/1124697330|Herbert von Halem Verlag
https://d-nb.info/861004981|Fachverlag für Büro- u. Organisationstechnik
https://d-nb.info/911388761|VDI-Verlag
https://d-nb.info/1196226806|utzverlag GmbH
https://d-nb.info/958035903|Teubner
https://d-nb.info/1198243554|Logos Verlag
https://d-nb.info/943683882|Springer
https://d-nb.info/1065399049|VDI-Verlag
https://d-nb.info/920293549|Oldenbourg
https://d-nb.info/1023542331|Monsenstein und Vannerdat
https://d-nb.info/871285371|ifv, Kalsruhe, Germany
https://d-nb.info/930581113|Springer
https://d-nb.info/946948011|Shaker
https://d-nb.info/95369920X|Königshausen und Neumann
https://d-nb.info/95011958X|DUV
https://d-nb.info/954828550|dot-Verlag
https://d-nb.info/1023448033|Springer
https://d-nb.info/931483115|Verlag der Augustinus-Buchhandlung
https://d-nb.info/1027422780|Springer
https://d-nb.info/920349374|Springer
https://d-nb.info/900422114|Springer
https://d-nb.info/942327977|Vieweg
https://d-nb.info/870741942|ETH Zurich, Zürich, Verlag der Fachvereine, Switzerland
https://d-nb.info/94988653X|Oldenbourg
https://d-nb.info/930731808|Dt. Univ.-Verlag
https://d-nb.info/1195724608|Utz
https://d-nb.info/967071402|Westdt. Verlag
https://d-nb.info/930101758|Univ.-Verl. Konstanz
https://d-nb.info/960448683|DUV
https://d-nb.info/921006691|Vieweg
https://d-nb.info/950557560|Kamloth
https://d-nb.info/1058886541|Hartung-Gorre
https://d-nb.info/952799111|Birkhäuser
https://d-nb.info/930181891|Shaker
https://d-nb.info/930279948|Oldenbourg Verlag
https://nbn-resolving.org/urn:nbn:de:0072-287480|KIT Scientific Publishing
https://d-nb.info/1065957440|Lehrstuhl für Verkehrstechnik, Techn. Univ. München
http://www.epubli.de/shop/isbn/9783750265387|epubli
http://www.dr.hut-verlag.de/978-3-8439-2403-0.html|Verlag Dr. Hut
https://d-nb.info/1195796420|Utz
https://d-nb.info/850551595|Buske, Hamburg, Germany
https://d-nb.info/94681256X|VDI-Verlag
https://d-nb.info/109158480X|Springer Vieweg
https://nbn-resolving.org/urn:nbn:de:0072-323422|KIT Scientific Publishing
https://d-nb.info/871441985|Springer
https://d-nb.info/1053805268|Universitäts-Verlag Rhein-Ruhr
https://d-nb.info/1174693118|Nomos
https://d-nb.info/870212508|Iir
https://d-nb.info/920720846|Dt. Univ.-Verlag
https://d-nb.info/1033231886|Springer
https://d-nb.info/1192467817|Springer Vieweg
https://d-nb.info/945389159|Teubner
https://d-nb.info/1148672664|Pabst Science Publishers
http://macau.uni-kiel.de/receive/macau_publ_00000696|Universitätsbibliothek Kiel, Germany
https://d-nb.info/94553762X|DUV, Dt. Univ.-Verlag
https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.269999|University of Strathclyde, Glasgow, UK
https://d-nb.info/969624166|Springer
https://tel.archives-ouvertes.fr/tel-00691915|École normale supérieure de Cachan, France
https://d-nb.info/99128027X|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/987746987|VDM
https://d-nb.info/991168747|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/986313769|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/984434062|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/985915951|Lohmar, Cologne, Germany
https://d-nb.info/991301455|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/985468084|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/988799375|VDM Verlag Dr. Müller, Saarbrücken, Germany
https://d-nb.info/97316641X|Dt. Univ.-Verl., Wiesbaden, Germany
